location
"1.30998945288292,103.835500936165"
"1.30980898734011,103.834917913719"
"1.31388821731138,103.829776363158"
"1.31349459637827,103.829908687754"
"1.31392059080483,103.830433578727"
"1.3144232944453,103.83031723657"
"1.31411325718234,103.830122717934"
"1.31467260997034,103.830544245103"
"1.31423521700563,103.830833308248"
"1.31424499940759,103.831812879676"
"1.31488661427584,103.831472984664"
"1.31451692851707,103.832206863212"
"1.31538636410735,103.831121011286"
"1.31527446116937,103.831680264689"
"1.31526732144307,103.832077462626"
"1.31581416930098,103.832689589193"
"1.31596195520649,103.832953063985"
"1.31360829349695,103.831029255636"
"1.31116051647814,103.835609464816"
"1.31126438874108,103.835969834281"
"1.31193535711377,103.836494749484"
"1.311804,103.83689"
"1.31236169061168,103.836727303591"
"1.31394967534945,103.836801157554"
"1.31404713398446,103.836276506022"
"1.31339070356532,103.836287439706"
"1.31375445205082,103.835985707077"
"1.31643495692117,103.835492905977"
"1.3160516825333,103.834193191564"
"1.31659084720767,103.834933695645"
"1.3162427072575,103.835274327941"
"1.31531716251804,103.835043891264"
"1.31586237287935,103.835505681078"
"1.31505974434281,103.834740164891"
"1.31546636139053,103.83429575102"
"1.31474675465482,103.834590248794"
"1.31467464353755,103.834064909569"
"1.31585462062103,103.834007495221"
"1.316015,103.833598"
"1.31302781415836,103.835834962029"
"1.31506432443647,103.833533869109"
"1.31488980101711,103.832928141956"
"1.31665716748079,103.833640127378"
