time_diff,distance,hour,weekday,source_destination
3.0,0.1655253174853607,8,True,"1.386478068,103.7602565;1.387284982,103.7590052"
2.0,0.1655253174853607,9,True,"1.387284982,103.7590052;1.386478068,103.7602565"
4.0,0.1655253174853607,9,True,"1.386478068,103.7602565;1.387284982,103.7590052"
1.0,0.1655253174853607,9,True,"1.387284982,103.7590052;1.386478068,103.7602565"
2.0,0.1655253174853607,9,True,"1.387284982,103.7590052;1.386478068,103.7602565"
5.0,0.10706573359837357,9,True,"1.387284982,103.7590052;1.3866855,103.7597589"
2.0,0.17042619187084693,9,True,"1.3866855,103.7597589;1.387474968,103.7584448"
4.0,0.06126975329876569,9,True,"1.3866855,103.7597589;1.386413962,103.7592793"
2.0,0.1500808597959014,9,True,"1.386413962,103.7592793;1.387474968,103.7584448"
4.0,0.1500808597959014,9,True,"1.387474968,103.7584448;1.386413962,103.7592793"
4.0,0.1500808597959014,9,True,"1.386413962,103.7592793;1.387474968,103.7584448"
1.0,0.1500808597959014,9,True,"1.387474968,103.7584448;1.386413962,103.7592793"
6.0,0.1500808597959014,10,True,"1.386413962,103.7592793;1.387474968,103.7584448"
2.0,0.24650974084377347,10,True,"1.385464744,103.7593798;1.387474968,103.7584448"
8.0,0.20664042840171934,10,True,"1.385464744,103.7593798;1.387284982,103.7590052"
1.0,0.20664042840171934,10,True,"1.387284982,103.7590052;1.385464744,103.7593798"
8.0,0.19627886753160714,10,True,"1.385464744,103.7593798;1.386954312,103.7584324"
4.0,0.2565318267486565,10,True,"1.3854748,103.7598805;1.386548243,103.7578378"
4.0,0.3009233664345872,10,True,"1.386548243,103.7578378;1.385571506,103.7603624"
2.0,0.3009233664345872,10,True,"1.385571506,103.7603624;1.386548243,103.7578378"
2.0,0.3009233664345872,11,True,"1.386548243,103.7578378;1.385571506,103.7603624"
4.0,0.3009233664345872,11,True,"1.385571506,103.7603624;1.386548243,103.7578378"
4.0,0.3009233664345872,11,True,"1.386548243,103.7578378;1.385571506,103.7603624"
4.0,0.3009233664345872,11,True,"1.385571506,103.7603624;1.386548243,103.7578378"
7.0,0.7942784721793823,11,True,"1.386548243,103.7578378;1.381360051,103.7627491"
4.0,0.5904238077637111,11,True,"1.381360051,103.7627491;1.385464744,103.7593798"
1.0,0.2705046165609385,11,True,"1.385464744,103.7593798;1.386562259,103.7572081"
1.0,0.7832956075460777,11,True,"1.386562259,103.7572081;1.381529844,103.7621388"
3.0,0.7832956075460777,11,True,"1.381529844,103.7621388;1.386562259,103.7572081"
3.0,0.7832956075460777,11,True,"1.386562259,103.7572081;1.381529844,103.7621388"
1.0,0.7832956075460777,11,True,"1.381529844,103.7621388;1.386562259,103.7572081"
2.0,0.7832956075460777,11,True,"1.386562259,103.7572081;1.381529844,103.7621388"
3.0,0.7832956075460777,11,True,"1.381529844,103.7621388;1.386562259,103.7572081"
1.0,0.8159663405456776,12,True,"1.380798254,103.7618568;1.38760849,103.7645906"
1.0,0.8159663405456776,12,True,"1.38760849,103.7645906;1.380798254,103.7618568"
2.0,0.7232864325290664,12,True,"1.380798254,103.7618568;1.385812208,103.7577118"
1.0,0.7232864325290664,12,True,"1.385812208,103.7577118;1.380798254,103.7618568"
1.0,0.7196197492868216,12,True,"1.380798254,103.7618568;1.386922981,103.763948"
2.0,0.6439379821842512,12,True,"1.386922981,103.763948;1.385955159,103.7582367"
2.0,0.6797984255112215,12,True,"1.386922981,103.763948;1.380981,103.7625093"
1.0,0.6797984255112215,12,True,"1.380981,103.7625093;1.386922981,103.763948"
6.0,0.6797984255112215,12,True,"1.386922981,103.763948;1.380981,103.7625093"
6.0,0.6797984255112215,12,True,"1.380981,103.7625093;1.386922981,103.763948"
9.0,0.04787414227355511,12,True,"1.386922981,103.763948;1.386609023,103.7636533"
